$$$Excess Volume Data Set 12767
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C8H10	106.167	108-38-3	m-Xylene
2	C4H8O2S	120.172	126-33-0	Sulfolane
Temperature	298.150	K
Pressure	1.0132	bar
Excess Volume [cm3/mol]	x1 [mol/mol]
-0.2170	0.06790
-0.3170	0.10360
-0.4260	0.14130
-0.5610	0.19880
-0.6680	0.24880
-0.7310	0.28410
-0.8070	0.32790
-0.8750	0.39050
-0.8990	0.42210
-0.9100	0.42430
-0.9200	0.45410
-0.9480	0.50570
-0.9440	0.55020
-0.9310	0.59140
-0.8950	0.65220
-0.8160	0.71610
-0.7510	0.75680
-0.6390	0.81020
-0.5580	0.84300
-0.4070	0.89780
-0.2090	0.95230
Source
Yu Y.-X.; Li Y.-G.: Excess molar volumes of sulfolane in binary mixtures with six aromatic hydrocarbons at 298.15 K. Fluid Phase Equilib. 147 (1998) 207-213
Source
Yu Y.-X.; Li Y.-G.: Excess molar volumes of sulfolane in binary mixtures with six aromatic hydrocarbons at 298.15 K. Fluid Phase Equilib. 147 (1998) 207-213
