$$$Excess Volume Data Set 6811	
No.	Formula	Molar Mass	CAS Registry Number	Name	
1	C4H8O2	88.106	141-78-6	Ethyl acetate	
2	C2H3N	41.053	75-05-8	Acetonitrile	
Temperature	303.150	K	
Excess Volume [cm3/mol]	x1 [mol/mol]	
-0.0653	0.10120	
-0.1026	0.19990	
-0.1229	0.30180	
-0.1419	0.40260	
-0.1516	0.50150	
-0.1480	0.60750	
-0.1394	0.70200	
-0.1115	0.80720	
-0.0744	0.90690	
Source	
Oswal S.L.; Patel N.B.: 1. Alkanenitriles with Alkyl Acetates. J.Chem.Eng.Data 40 (1995) 840-844	
Source	
Oswal S.L.; Patel N.B.: 1. Alkanenitriles with Alkyl Acetates. J.Chem.Eng.Data 40 (1995) 840-844	
