$$$Excess Volume Data Set 17857
No.	Formula	Molar Mass	CAS Registry Number	Name
1	C2H3N	41.053	75-05-8	Acetonitrile
2	C2H6O2	62.068	107-21-1	1,2-Ethanediol
Temperature	293.150	K
Excess Volume [cm3/mol]	x1 [mol/mol]
-0.0560	0.06350
-0.1300	0.12250
-0.2220	0.18970
-0.3020	0.25530
-0.3790	0.33330
-0.4120	0.39010
-0.4260	0.46660
-0.4210	0.52210
-0.3820	0.60020
-0.3150	0.68030
-0.2660	0.74040
-0.2130	0.80030
-0.1560	0.86600
-0.0780	0.93360
Source
Iloukhani H.; Parsa J.B.; Soltanieh M.: Volumetric properties of acetonitrile with 1,2-alkanediols (C2-C6) at 20 C. J.Solution Chem. 30 (2001) 807-814
Source
Iloukhani H.; Parsa J.B.; Soltanieh M.: Volumetric properties of acetonitrile with 1,2-alkanediols (C2-C6) at 20 C. J.Solution Chem. 30 (2001) 807-814
